scientific_name,common_name,longitude,latitude,state,water_type,season,sea_surface_temp_C,chlorophyll_mg_m3,depth_m,min_legal_size_cm,juvenile_range_cm,gear_type,zone_label,economic_value_in_INR_per_kg,seasonal_disease,river_name,advisory_text
Rastrelliger kanagurta,Indian Mackerel,90.5075,9.0223,Karnataka,Marine,Monsoon,25.97,1.04,124.0,26.8,13.4-24.1,Trawl,Red,606.03,Gill Rot,Kaveri,High juvenile dominance of Indian Mackerel observed in Kaveri. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Lates calcarifer,Asian Seabass,71.7107,14.5608,Maharashtra,Brackish,Winter,26.3,1.06,171.9,18.2,9.1-16.4,Hook and Line,Green,780.86,,Godavari,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,71.8438,14.5129,West Bengal,Brackish,Winter,23.09,1.86,181.4,27.5,13.8-24.8,Purse Seine,Green,341.19,,Hooghly,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,96.8349,8.0709,Karnataka,Brackish,Monsoon,29.64,2.3,77.8,30.6,15.3-27.5,Gillnet,Green,394.2,,Krishna,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,78.268,21.5401,Tamil Nadu,Marine,Monsoon,27.25,2.96,176.1,31.3,15.7-28.2,Trawl,Green,744.29,,Vaigai,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,77.2786,16.1884,West Bengal,Brackish,Monsoon,24.83,2.79,13.0,28.4,14.2-25.6,Trawl,Green,129.5,,Hooghly,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,73.7622,14.5912,Gujarat,Marine,Winter,22.77,2.63,100.0,40.3,20.1-36.3,Hook and Line,Red,579.57,Cold Shock Disease,Sabarmati,High juvenile dominance of Oil Sardine observed in Sabarmati. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Penaeus monodon,Black Tiger Shrimp,88.1825,10.8399,Karnataka,Marine,Monsoon,31.47,2.69,123.5,25.7,12.8-23.1,Purse Seine,Red,476.33,White Spot Syndrome,Tungabhadra,High juvenile dominance of Black Tiger Shrimp observed in Tungabhadra. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Pampus argenteus,Silver Pomfret,83.1308,14.9305,Gujarat,Marine,Winter,24.52,1.04,137.2,18.1,9.1-16.3,Gillnet,Green,559.41,,Tapi,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,76.3265,15.1189,Maharashtra,Brackish,Winter,22.96,0.78,131.9,20.9,10.4-18.8,Gillnet,Green,739.4,,Krishna,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,71.4808,13.917,Odisha,Marine,Winter,24.7,2.21,124.6,35.3,17.6-31.8,Trawl,Green,258.01,,Baitarani,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,94.092,14.3372,Gujarat,Marine,Summer,22.67,0.18,58.0,26.6,13.3-23.9,Trawl,Yellow,530.08,,Narmada,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,88.0497,16.4512,West Bengal,Brackish,Monsoon,30.56,0.5,123.6,33.4,16.7-30.1,Hook and Line,Yellow,787.29,,Teesta,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,87.3893,16.3647,Maharashtra,Brackish,Winter,24.88,1.46,148.8,16.1,8.1-14.5,Purse Seine,Green,791.78,,Godavari,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,75.9717,14.523,Kerala,Marine,Monsoon,31.4,1.42,12.9,20.0,10.0-18.0,Trawl,Yellow,383.52,,Bharathapuzha,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Scomberomorus guttatus,Seer Fish,79.5063,11.2788,West Bengal,Brackish,Monsoon,22.8,1.42,79.5,27.5,13.8-24.8,Trawl,Green,605.43,,Teesta,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,70.164,21.4363,Andhra Pradesh,Brackish,Winter,30.47,2.2,108.5,41.5,20.8-37.4,Gillnet,Yellow,202.74,,Godavari,Moderate juvenile presence of Pharaoh Cuttlefish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,80.2595,16.2495,Maharashtra,Marine,Monsoon,22.76,2.24,53.3,24.2,12.1-21.8,Purse Seine,Red,286.74,Gill Rot,Tapi,High juvenile dominance of Indian Mackerel observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Carangoides malabaricus,Malabar Trevally,76.8042,12.9626,Maharashtra,Brackish,Summer,30.59,1.82,52.3,19.5,9.8-17.6,Gillnet,Yellow,504.14,,Tapi,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,74.6635,11.9969,Gujarat,Brackish,Monsoon,29.41,0.58,48.5,33.5,16.8-30.2,Gillnet,Green,405.87,,Mahi,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,95.2356,17.022,Gujarat,Brackish,Winter,31.19,2.14,196.2,42.2,21.1-38.0,Purse Seine,Yellow,793.1,,Mahi,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,71.0092,19.0407,Gujarat,Marine,Summer,25.84,1.84,170.0,43.8,21.9-39.4,Purse Seine,Green,710.48,,Narmada,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,89.0777,11.7326,Maharashtra,Marine,Monsoon,22.98,0.18,115.1,20.9,10.4-18.8,Gillnet,Yellow,615.64,,Krishna,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,77.5407,13.7711,Kerala,Brackish,Monsoon,23.81,1.97,27.0,38.1,19.1-34.3,Purse Seine,Green,737.75,,Chaliyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,73.2883,9.8172,Tamil Nadu,Marine,Monsoon,24.67,1.84,80.8,41.4,20.7-37.3,Trawl,Green,265.17,,Vaigai,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,74.5072,21.2278,Maharashtra,Brackish,Monsoon,29.79,1.46,130.7,22.8,11.4-20.5,Hook and Line,Green,753.88,,Krishna,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,93.0215,15.3005,Karnataka,Marine,Winter,29.44,0.5,25.4,40.5,20.2-36.5,Hook and Line,Green,306.09,,Tungabhadra,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,84.4058,11.8198,Maharashtra,Brackish,Winter,28.0,2.98,131.8,17.3,8.7-15.6,Trawl,Green,448.74,,Godavari,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,73.8617,20.9634,West Bengal,Brackish,Monsoon,23.89,2.71,186.1,32.8,16.4-29.5,Trawl,Green,427.56,,Subarnarekha,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,96.1352,15.4582,Andhra Pradesh,Marine,Monsoon,31.04,0.98,110.4,43.8,21.9-39.4,Purse Seine,Yellow,487.63,,Krishna,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,96.903,15.0824,Kerala,Marine,Monsoon,31.1,1.86,147.5,23.7,11.8-21.3,Purse Seine,Yellow,417.36,,Bharathapuzha,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Penaeus monodon,Black Tiger Shrimp,74.1225,16.4501,Gujarat,Brackish,Winter,30.2,2.16,49.9,24.6,12.3-22.1,Purse Seine,Yellow,706.52,,Mahi,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,70.4409,11.7872,West Bengal,Marine,Monsoon,24.63,1.07,86.6,40.8,20.4-36.7,Gillnet,Green,615.8,,Teesta,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sepia pharaonis,Pharaoh Cuttlefish,85.5537,13.4678,Tamil Nadu,Brackish,Winter,28.57,1.02,33.9,21.0,10.5-18.9,Gillnet,Green,206.12,,Kaveri,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,75.4803,14.3319,Odisha,Brackish,Monsoon,27.61,1.73,103.4,20.6,10.3-18.5,Hook and Line,Green,729.47,,Baitarani,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,93.3175,14.394,Karnataka,Brackish,Winter,24.18,1.86,61.3,28.6,14.3-25.7,Hook and Line,Green,362.85,,Kaveri,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,73.7619,11.2877,Gujarat,Marine,Monsoon,29.87,0.93,30.6,43.4,21.7-39.1,Hook and Line,Green,296.37,,Tapi,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,89.3972,13.8717,Odisha,Marine,Summer,25.14,1.79,136.6,28.6,14.3-25.7,Trawl,Red,561.62,Tail Rot,Baitarani,High juvenile dominance of Hilsa observed in Baitarani. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,78.0242,16.1646,Maharashtra,Marine,Monsoon,28.0,2.06,47.0,30.4,15.2-27.4,Trawl,Red,174.58,Gill Rot,Tapi,High juvenile dominance of Indian Mackerel observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Epinephelus malabaricus,Malabar Grouper,76.9225,15.5068,Andhra Pradesh,Brackish,Summer,24.03,3.0,36.4,23.4,11.7-21.1,Trawl,Green,737.96,,Krishna,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,81.0113,10.7532,Gujarat,Marine,Winter,25.95,2.74,182.1,25.5,12.8-22.9,Purse Seine,Red,696.49,Cold Shock Disease,Narmada,High juvenile dominance of Oil Sardine observed in Narmada. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Carangoides malabaricus,Malabar Trevally,93.9512,9.4188,Gujarat,Marine,Summer,24.02,0.24,114.3,32.0,16.0-28.8,Trawl,Yellow,555.59,,Sabarmati,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,92.2838,18.1615,Tamil Nadu,Marine,Summer,26.73,2.28,144.2,40.4,20.2-36.4,Trawl,Green,174.28,,Vaigai,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,70.3024,16.6473,Maharashtra,Brackish,Winter,24.68,0.43,159.0,33.9,16.9-30.5,Hook and Line,Yellow,135.05,,Godavari,Moderate juvenile presence of Seer Fish in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Rastrelliger kanagurta,Indian Mackerel,94.5428,11.4579,Andhra Pradesh,Brackish,Winter,31.84,1.97,128.1,29.9,14.9-26.9,Gillnet,Yellow,162.59,,Penna,Moderate juvenile presence of Indian Mackerel in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,77.4412,8.9423,Maharashtra,Brackish,Summer,22.43,0.46,55.6,18.1,9.1-16.3,Hook and Line,Yellow,503.58,,Krishna,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sardinella longiceps,Oil Sardine,96.2532,13.4217,Kerala,Brackish,Monsoon,26.62,2.91,75.0,43.1,21.6-38.8,Hook and Line,Green,621.46,,Periyar,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,76.1596,14.0284,Odisha,Brackish,Winter,26.98,0.28,185.0,41.7,20.9-37.5,Purse Seine,Yellow,766.62,,Brahmani,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Carangoides malabaricus,Malabar Trevally,76.7614,12.8203,West Bengal,Marine,Winter,29.56,0.78,65.1,44.9,22.4-40.4,Gillnet,Green,515.69,,Subarnarekha,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,79.6209,13.1358,Gujarat,Brackish,Monsoon,29.64,1.98,73.0,19.7,9.8-17.7,Gillnet,Green,192.88,,Sabarmati,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,95.647,12.6228,Gujarat,Brackish,Winter,30.63,2.43,139.7,37.8,18.9-34.0,Gillnet,Yellow,553.34,,Narmada,Moderate juvenile presence of Malabar Trevally in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,80.4422,21.0877,Gujarat,Brackish,Winter,26.02,2.66,197.7,28.5,14.2-25.7,Purse Seine,Green,213.48,,Sabarmati,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,73.758,12.9976,Tamil Nadu,Brackish,Winter,30.57,2.73,168.5,33.3,16.6-30.0,Gillnet,Red,253.75,Cold Shock Disease,Palar,High juvenile dominance of Oil Sardine observed in Palar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,82.7084,15.9147,Kerala,Marine,Monsoon,23.32,1.65,24.8,34.2,17.1-30.8,Gillnet,Green,386.08,,Periyar,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,69.3645,16.3056,Odisha,Brackish,Summer,23.46,2.17,166.6,22.0,11.0-19.8,Purse Seine,Red,647.19,Tail Rot,Baitarani,High juvenile dominance of Hilsa observed in Baitarani. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Sardinella longiceps,Oil Sardine,76.0697,11.6357,Odisha,Marine,Monsoon,23.52,2.34,32.3,43.1,21.6-38.8,Purse Seine,Green,110.18,,Baitarani,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,69.4265,16.6049,Tamil Nadu,Marine,Monsoon,24.64,2.5,155.3,45.0,22.5-40.5,Hook and Line,Green,771.72,,Palar,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,93.5874,19.2736,Kerala,Brackish,Summer,27.13,0.47,44.8,17.9,8.9-16.1,Purse Seine,Yellow,694.01,,Periyar,Moderate juvenile presence of Oil Sardine in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,85.7667,16.3017,Gujarat,Brackish,Winter,28.46,0.9,63.9,22.0,11.0-19.8,Trawl,Green,600.56,,Narmada,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,93.2871,14.3454,Maharashtra,Brackish,Monsoon,31.32,2.06,85.9,33.0,16.5-29.7,Gillnet,Yellow,643.18,,Krishna,Moderate juvenile presence of Silver Pomfret in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Epinephelus malabaricus,Malabar Grouper,84.5577,18.4523,Odisha,Marine,Winter,30.74,0.59,48.7,20.7,10.3-18.6,Purse Seine,Yellow,160.21,,Baitarani,Moderate juvenile presence of Malabar Grouper in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Lates calcarifer,Asian Seabass,85.2425,10.8911,Andhra Pradesh,Brackish,Summer,22.73,2.27,138.5,43.8,21.9-39.4,Gillnet,Green,222.08,,Penna,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,96.7875,15.528,Odisha,Marine,Monsoon,27.96,2.91,195.1,19.2,9.6-17.3,Hook and Line,Green,192.17,,Brahmani,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,77.7746,21.6553,Andhra Pradesh,Marine,Winter,26.78,2.68,154.4,22.7,11.3-20.4,Gillnet,Red,595.67,Cold Shock Disease,Krishna,High juvenile dominance of Oil Sardine observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,96.2326,9.9498,Kerala,Brackish,Winter,28.98,1.54,146.4,20.1,10.1-18.1,Purse Seine,Green,147.36,,Periyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,71.723,10.2756,Kerala,Brackish,Monsoon,24.74,1.01,85.1,17.2,8.6-15.5,Trawl,Green,413.02,,Pamba,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,81.5559,20.607,Gujarat,Marine,Monsoon,24.77,2.54,16.5,25.6,12.8-23.0,Gillnet,Green,566.95,,Tapi,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,95.1648,20.2636,Kerala,Brackish,Monsoon,26.07,0.61,14.0,43.4,21.7-39.1,Trawl,Green,679.43,,Periyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,79.4195,18.3808,Odisha,Marine,Winter,23.09,2.49,44.7,19.0,9.5-17.1,Trawl,Red,609.0,Cold Shock Disease,Mahanadi,High juvenile dominance of Oil Sardine observed in Mahanadi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Penaeus monodon,Black Tiger Shrimp,92.1075,16.7298,Karnataka,Marine,Winter,24.66,1.51,53.5,42.3,21.1-38.1,Hook and Line,Green,157.27,,Kaveri,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,79.9189,20.736,Tamil Nadu,Brackish,Winter,23.35,1.49,122.2,25.1,12.6-22.6,Trawl,Green,641.53,,Vaigai,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,76.3789,19.0299,Kerala,Marine,Summer,26.29,1.89,77.8,38.0,19.0-34.2,Gillnet,Red,571.05,Tail Rot,Bharathapuzha,High juvenile dominance of Hilsa observed in Bharathapuzha. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Lates calcarifer,Asian Seabass,89.1708,9.558,Karnataka,Brackish,Winter,29.15,0.88,45.9,33.3,16.6-30.0,Gillnet,Green,385.27,,Tungabhadra,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Tenualosa ilisha,Hilsa,88.4235,10.6039,Kerala,Brackish,Winter,22.15,0.62,66.7,35.6,17.8-32.0,Purse Seine,Green,581.57,,Periyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,81.3256,16.8625,Odisha,Brackish,Summer,22.01,2.6,123.4,30.7,15.3-27.6,Purse Seine,Green,547.64,,Baitarani,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,80.3341,17.4409,Gujarat,Brackish,Monsoon,27.35,1.89,99.1,37.0,18.5-33.3,Trawl,Red,388.11,White Spot Syndrome,Tapi,High juvenile dominance of Black Tiger Shrimp observed in Tapi. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,88.0434,9.3378,Andhra Pradesh,Marine,Summer,23.34,0.65,61.9,24.8,12.4-22.3,Hook and Line,Red,638.68,Tail Rot,Krishna,High juvenile dominance of Hilsa observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,96.7445,15.4964,Kerala,Marine,Winter,24.96,0.53,104.0,33.9,16.9-30.5,Hook and Line,Green,436.59,,Periyar,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,74.8005,8.2082,West Bengal,Marine,Summer,27.07,1.18,124.2,39.2,19.6-35.3,Hook and Line,Green,475.14,,Hooghly,Low juvenile presence of Black Tiger Shrimp. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,89.4164,14.0179,Gujarat,Marine,Monsoon,29.7,2.01,158.6,20.4,10.2-18.4,Trawl,Green,608.71,,Tapi,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,96.7413,10.5856,Odisha,Brackish,Summer,31.19,1.17,198.9,17.6,8.8-15.8,Trawl,Yellow,115.35,,Baitarani,Moderate juvenile presence of Black Tiger Shrimp in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Tenualosa ilisha,Hilsa,71.4012,14.9189,West Bengal,Brackish,Winter,29.59,1.36,183.1,38.8,19.4-34.9,Trawl,Green,559.77,,Teesta,Low juvenile presence of Hilsa. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Carangoides malabaricus,Malabar Trevally,84.372,9.3444,Karnataka,Brackish,Summer,28.24,1.9,124.4,44.0,22.0-39.6,Purse Seine,Green,547.14,,Tungabhadra,Low juvenile presence of Malabar Trevally. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Epinephelus malabaricus,Malabar Grouper,81.6036,14.3269,Kerala,Marine,Summer,24.33,2.19,183.5,43.2,21.6-38.9,Trawl,Green,476.26,,Chaliyar,Low juvenile presence of Malabar Grouper. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,83.3739,16.6964,Tamil Nadu,Marine,Summer,31.37,0.13,86.9,45.0,22.5-40.5,Purse Seine,Yellow,239.79,,Vaigai,Moderate juvenile presence of Asian Seabass in this stretch. Regulated fishing is advised using selective gear and avoiding nursery habitats.
Sepia pharaonis,Pharaoh Cuttlefish,94.2197,15.9631,Gujarat,Brackish,Winter,28.04,1.76,24.2,15.9,8.0-14.3,Purse Seine,Green,408.05,,Tapi,Low juvenile presence of Pharaoh Cuttlefish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,75.5321,14.3739,Gujarat,Marine,Monsoon,29.85,1.24,28.6,40.9,20.4-36.8,Trawl,Green,610.74,,Narmada,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,78.1938,16.759,West Bengal,Brackish,Winter,22.89,1.16,53.3,24.6,12.3-22.1,Trawl,Red,256.16,Cold Shock Disease,Teesta,High juvenile dominance of Oil Sardine observed in Teesta. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Tenualosa ilisha,Hilsa,95.6561,10.2328,Tamil Nadu,Brackish,Summer,25.32,1.5,187.5,27.9,13.9-25.1,Hook and Line,Red,543.22,Tail Rot,Palar,High juvenile dominance of Hilsa observed in Palar. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,92.112,20.9036,Kerala,Brackish,Winter,28.29,2.15,86.9,16.2,8.1-14.6,Gillnet,Green,724.38,,Bharathapuzha,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,87.4921,14.1723,Maharashtra,Marine,Winter,23.96,1.99,131.8,28.3,14.2-25.5,Hook and Line,Green,675.72,,Godavari,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Lates calcarifer,Asian Seabass,68.3619,18.4716,Karnataka,Marine,Summer,26.47,1.14,67.1,16.3,8.2-14.7,Gillnet,Green,532.52,,Kaveri,Low juvenile presence of Asian Seabass. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Penaeus monodon,Black Tiger Shrimp,79.6879,12.2781,Andhra Pradesh,Brackish,Monsoon,26.69,0.64,130.7,36.8,18.4-33.1,Purse Seine,Red,161.26,White Spot Syndrome,Krishna,High juvenile dominance of Black Tiger Shrimp observed in Krishna. Fishing is strictly prohibited to protect breeding stock and future economic returns.
Rastrelliger kanagurta,Indian Mackerel,94.6075,20.9253,Kerala,Marine,Winter,24.73,1.55,156.3,31.1,15.6-28.0,Hook and Line,Green,224.5,,Pamba,Low juvenile presence of Indian Mackerel. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Scomberomorus guttatus,Seer Fish,84.3256,13.7741,Odisha,Brackish,Monsoon,27.98,1.11,63.3,22.6,11.3-20.3,Purse Seine,Green,316.65,,Baitarani,Low juvenile presence of Seer Fish. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,86.9369,14.0067,Kerala,Brackish,Winter,27.72,2.84,78.8,26.2,13.1-23.6,Hook and Line,Green,260.66,,Pamba,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Pampus argenteus,Silver Pomfret,80.8076,15.1053,Karnataka,Marine,Winter,29.78,0.86,34.2,44.4,22.2-40.0,Trawl,Green,388.35,,Tungabhadra,Low juvenile presence of Silver Pomfret. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
Sardinella longiceps,Oil Sardine,95.4274,16.346,West Bengal,Brackish,Monsoon,23.17,0.69,72.6,18.7,9.3-16.8,Purse Seine,Green,414.32,,Teesta,Low juvenile presence of Oil Sardine. Fishing permitted while strictly following minimum legal size and disease monitoring guidelines.
